GEN,ObservationDate,Confirmed,Deaths
Munich,2020-03-02T17:00:00+0000,0.7,0
Munich,2020-03-03T17:00:00+0000,1.5,0
Munich,2020-03-04T17:00:00+0000,2.5,0
Munich,2020-03-05T17:00:00+0000,3.8,0.26
Munich,2020-03-06T17:00:00+0000,5.3,0.5
Munich,2020-03-07T17:00:00+0000,7.5,0.95
Munich,2020-03-08T17:00:00+0000,10.2,1.6
Munich,2020-03-09T17:00:00+0000,12.8,2.42
Munich,2020-03-10T17:00:00+0000,15.8,3.79
Munich,2020-03-11T17:00:00+0000,19.3,5.74
Munich,2020-03-12T17:00:00+0000,23.2,8.02
Munich,2020-03-13T17:00:00+0000,27.5,11.09
Munich,2020-03-14T17:00:00+0000,31.9,14.74
Munich,2020-03-15T17:00:00+0000,36.4,19.16
Munich,2020-03-16T17:00:00+0000,41,24.4
Munich,2020-03-17T17:00:00+0000,45.7,30.05
Munich,2020-03-18T17:00:00+0000,50.7,36.1
Munich,2020-03-19T17:00:00+0000,55.9,42.54
Munich,2020-03-20T17:00:00+0000,61.1,49.18
Munich,2020-03-21T17:00:00+0000,66.1,56.21
Munich,2020-03-22T17:00:00+0000,71.1,63.43
Munich,2020-03-23T17:00:00+0000,75.8,70.84
Munich,2020-03-24T17:00:00+0000,80.3,78.45
Munich,2020-03-25T17:00:00+0000,84.3,86.26
Munich,2020-03-26T17:00:00+0000,87.7,94.07
Munich,2020-03-27T17:00:00+0000,90.7,102.07
Munich,2020-03-28T17:00:00+0000,93.1,109.68
Munich,2020-03-29T17:00:00+0000,94.6,116.9
Munich,2020-03-30T17:00:00+0000,95.4,123.54
Munich,2020-03-31T17:00:00+0000,95.5,129.2
Munich,2020-04-01T17:00:00+0000,94.9,133.88
Munich,2020-04-02T17:00:00+0000,93.7,137.78
Munich,2020-04-03T17:00:00+0000,92,140.52
Munich,2020-04-04T17:00:00+0000,90,142.47
Munich,2020-04-05T17:00:00+0000,88,143.44
Munich,2020-04-06T17:00:00+0000,85.7,143.64
Munich,2020-04-07T17:00:00+0000,83.4,143.44
Munich,2020-04-08T17:00:00+0000,80.7,142.86
Munich,2020-04-09T17:00:00+0000,77.7,141.69
Munich,2020-04-10T17:00:00+0000,74.4,140.12
Munich,2020-04-11T17:00:00+0000,71,137.78
Munich,2020-04-12T17:00:00+0000,67.4,135.05
Munich,2020-04-13T17:00:00+0000,63.9,131.73
Munich,2020-04-14T17:00:00+0000,60.3,127.83
Munich,2020-04-15T17:00:00+0000,57.2,123.34
Munich,2020-04-16T17:00:00+0000,54.4,118.46
Munich,2020-04-17T17:00:00+0000,51.7,113
Munich,2020-04-18T17:00:00+0000,49.3,107.53
Munich,2020-04-19T17:00:00+0000,47,101.87
Munich,2020-04-20T17:00:00+0000,44.9,96.41
Munich,2020-04-21T17:00:00+0000,42.9,91.14
Munich,2020-04-22T17:00:00+0000,40.9,86.07
Munich,2020-04-23T17:00:00+0000,38.9,81.19
Munich,2020-04-24T17:00:00+0000,37.1,76.89
Munich,2020-04-25T17:00:00+0000,35.3,72.99
Munich,2020-04-26T17:00:00+0000,33.6,69.28
Munich,2020-04-27T17:00:00+0000,31.9,65.57
Munich,2020-04-28T17:00:00+0000,30.2,61.87
Munich,2020-04-29T17:00:00+0000,28.6,58.16
